"","Media","n","mean","sd","min","Q1","median","Q3","max","percZero"
"1","100% Jangkos",10,13.2,4.9,0,13.2,14.8,15.6,16.5,10
"2","100% Kompos",10,11.6,8.5,3.5,5.2,6.2,19.4,24,0
"3","100% Tanah",10,27.8,10,15.8,20,26.9,31.3,46.3,0
"4","50% Tanah 50% Jangkos",10,23.3,5.6,15.5,20.1,21.8,26.6,33.4,0
"5","50% Tanah 50% Kompos",10,29.8,6.4,16.3,27.8,31.4,34.4,37.1,0
