plotId,treeId,family,genus,species,D,lat,long
Blok10,8,Euphorbiaceae,Triadica,cochinchinensis,19,-3.04188,107.89211
Blok2,13,Euphorbiaceae,Triadica,cochinchinensis,20,-3.04416667,107.8927778
Blok6,34,Euphorbiaceae,Triadica,cochinchinensis,17,-3.04347,107.89044
Blok9,47,Euphorbiaceae,Triadica,cochinchinensis,16,-3.04281,107.89293
Blok2,14,Meliaceae,Aglaia,elliptica,15,-3.04416667,107.8927778
Blok6,35,Meliaceae,Aglaia,elliptica,15,-3.04347,107.89044
Blok9,48,Meliaceae,Aglaia,elliptica,15,-3.04281,107.89293
Blok10,9,Meliaceae,Aglaia,forbesii ,37,-3.04188,107.89211
Blok2,15,Meliaceae,Aglaia,forbesii ,33,-3.04416667,107.8927778
Blok9,49,Meliaceae,Aglaia,forbesii ,35,-3.04281,107.89293
Blok6,33,Meliaceae,Aglaia,hiernii ,17,-3.04347,107.89044
Blok7,38,Meliaceae,Aglaia,hiernii ,12,-3.04353,107.89486
Blok1,1,Leguminosae,Archidendron,jiringa,55,-3.04472222,107.895917
Blok7,39,Leguminosae,Archidendron,jiringa,53,-3.04353,107.89486
Blok1,2,Rutaceae,Murraya ,koenigii,8,-3.04472222,107.895917
Blok1,3,Rutaceae,Murraya ,koenigii,9,-3.04472222,107.895917
Blok2,16,Rutaceae,Murraya ,koenigii,10,-3.04416667,107.8927778
Blok2,17,Rutaceae,Murraya ,koenigii,9,-3.04416667,107.8927778
Blok5,27,Rutaceae,Murraya ,koenigii,9,-3.04271,107.89393
Blok8,44,Rutaceae,Murraya ,koenigii,9,-3.04413,107.89013
Blok8,45,Rutaceae,Murraya ,koenigii,9,-3.04413,107.89013
Blok9,50,Rutaceae,Murraya ,koenigii,9,-3.04281,107.89293
Blok4,24,Calophyllaceae ,Calophyllum,nodosum,20,-3.04277,107.8904
Blok8,46,Calophyllaceae ,Calophyllum,nodosum,24,-3.04413,107.89013
Blok1,4,Burseraceae ,Dacryodes,rostrata,24,-3.04472222,107.895917
Blok5,28,Burseraceae ,Dacryodes,rostrata,22,-3.04271,107.89393
Blok1,5,Leguminosae,Albizia,saponaria,13,-3.04472222,107.895917
Blok1,6,Leguminosae,Albizia,saponaria,11,-3.04472222,107.895917
Blok10,10,Leguminosae,Albizia,saponaria,9,-3.04188,107.89211
Blok3,19,Leguminosae,Albizia,saponaria,12,-3.04212,107.8928
Blok3,20,Leguminosae,Albizia,saponaria,12,-3.04212,107.8928
Blok4,25,Leguminosae,Albizia,saponaria,12,-3.04277,107.8904
Blok4,26,Leguminosae,Albizia,saponaria,12,-3.04277,107.8904
Blok5,29,Leguminosae,Albizia,saponaria,12,-3.04271,107.89393
Blok5,30,Leguminosae,Albizia,saponaria,12,-3.04271,107.89393
Blok7,40,Leguminosae,Albizia,saponaria,12,-3.04353,107.89486
Blok9,51,Leguminosae,Albizia,saponaria,12,-3.04281,107.89293
Blok1,7,Meliaceae,Dysoxylum ,sp,31,-3.04472222,107.895917
Blok10,11,Meliaceae,Dysoxylum ,sp,33,-3.04188,107.89211
Blok10,12,Meliaceae,Dysoxylum ,sp,31,-3.04188,107.89211
Blok2,18,Meliaceae,Dysoxylum ,sp,30,-3.04416667,107.8927778
Blok3,21,Meliaceae,Dysoxylum ,sp,28,-3.04212,107.8928
Blok3,22,Meliaceae,Dysoxylum ,sp,22,-3.04212,107.8928
Blok5,31,Meliaceae,Dysoxylum ,sp,29,-3.04271,107.89393
Blok5,32,Meliaceae,Dysoxylum ,sp,28,-3.04271,107.89393
Blok6,36,Meliaceae,Dysoxylum ,sp,28,-3.04347,107.89044
Blok7,41,Meliaceae,Dysoxylum ,sp,28,-3.04353,107.89486
Blok7,42,Meliaceae,Dysoxylum ,sp,28,-3.04353,107.89486
Blok7,43,Meliaceae,Dysoxylum ,sp,28,-3.04353,107.89486
Blok9,52,Meliaceae,Dysoxylum ,sp,28,-3.04281,107.89293
Blok9,53,Meliaceae,Dysoxylum ,sp,28,-3.04281,107.89293
Blok3,23,Meliaceae,Aglaia ,sp1,32,-3.04212,107.8928
Blok6,37,Meliaceae,Aglaia ,sp1,30,-3.04347,107.89044
