plotId,genus,species,D,H,lat,long
Blok1,Dacryodes,rostrata,24,17,-3.04472222,107.895917
Blok2,Dillenia,excelsa,26,24,-3.04416667,107.8927778
Blok3,Cryptocarya,sp,18,16,-3.04212,107.8928
Blok4,Archidendron,jiringa,60,15,-3.04277,107.8904
Blok5,Aglaia,hiernii ,17,19,-3.04271,107.89393
Blok6,Aglaia,elliptica,15,10,-3.04347,107.89044
Blok7,Aglaia,forbesii ,37,25,-3.04353,107.89486
Blok8,Aglaia ,macrocarpa ,33,23,-3.04413,107.89013
Blok9,Aglaia ,sp1,32,22,-3.04281,107.89293
Blok10,Aglaia ,sp2 ,28,20,-3.04188,107.89211
Blok6,Dysoxylum ,sp,31,18,-3.04347,107.89044
Blok4,Triadica,cochinchinensis,19,13,-3.04277,107.8904
Blok1,Albizia,saponaria,12,9,-3.04472222,107.895917
Blok9,Murraya ,koenigii,8,5,-3.04281,107.89293
Blok5,Calophyllum,nodosum,23,18,-3.04271,107.89393
