Transek,Lokasi,X,Y,pencatat,Tanggal
1,HCV 657 Ha B20/21,404225,9846041,Yohanes Tono,16/09/2020
1,HCV 657 Ha B20/21,403224,9846103,Yohanes Tono,16/09/2020
2,"HCV 657 Ha, B=18",403973,9846725,Yohanes Tono,17/09/2020
2,"HCV 657 Ha, B=18",402970,9846719,Yohanes Tono,17/09/2020
3,HCV 2330 Ha B=58,404650,9836725,Yohanes Tono,18/09/2020
3,HCV 2330 Ha B=58,405650,9836728,Yohanes Tono,18/09/2020
4,HCV 2330 ha B=60,405566,9836120,Yohanes Tono,19/09/2020
4,HCV 2330 ha B=60,406566,9836074,Yohanes Tono,19/09/2020
5,HCV 2330 Ha D=58,408342,9836774,Sudirman,21/09/2020
5,HCV 2330 Ha D=58,407335,9836801,Sudirman,21/09/2020
6,HCV 2330 Ha D=59,408630,9836396,Yohanes Tono,22/09/2020
6,HCV 2330 Ha D=59,408518,9835403,Yohanes Tono,22/09/2020
7,HCV 2330 Ha B=47/48,405772,9839415,Hengki Turnando,23/09/2020
7,HCV 2330 Ha B=47/48,406766,9839274,Hengki Turnando,23/09/2020
